十碼章,醫院名稱,縣市別,行政區,郵遞區號,地址_里鄰,地址,聯絡電話,座標緯度,座標經度,備註
2343020013,屏東縣潮州鎮衛生所,屏東縣,潮州鎮,920,,屏東縣潮州鎮三共里永坤路107號,08-7882131,22.553018,120.542229,null
2343030019,屏東縣東港鎮衛生所,屏東縣,東港鎮,928,,屏東縣東港鎮朝安里新生三路23號,08-8325406,22.467453,120.445609,null
2343040015,屏東縣恆春鎮衛生所,屏東縣,恆春鎮,946,,屏東縣恆春鎮文化路78號,08-8892140,22.003227,120.746859,null
2343050011,屏東縣萬丹鄉衛生所,屏東縣,萬丹鄉,913,,屏東縣萬丹鄉四維村萬丹路5號,08-7772049,22.59655,120.488115,null
2343060017,屏東縣長治鄉衛生所,屏東縣,長治鄉,908,,屏東縣長治鄉進興村潭頭路3號,08-7368734,22.6766,120.526801,null
2343070013,屏東縣麟洛鄉衛生所,屏東縣,麟洛鄉,909,,屏東縣麟洛鄉中山路150號,08-7221152,22.650502,120.5249413,null
2343080019,屏東縣九如鄉衛生所,屏東縣,九如鄉,904,,屏東縣九如鄉九如路2段247號,08-7392006,22.7360639,120.4869886,null
2343090015,屏東縣里港鄉衛生所,屏東縣,里港鄉,905,,屏東縣里港鄉太平村中山路103之1號,08-7751711,22.7791661,120.4923033,null
2343100016,屏東縣鹽埔鄉衛生所,屏東縣,鹽埔鄉,907,,屏東縣鹽埔鄉鹽北村勝利路187號,08-7931376,22.760309,120.578617,null
2343110012,屏東縣高樹鄉衛生所,屏東縣,高樹鄉,906,,屏東縣高樹鄉高樹村興中路325號,08-7962026,22.826339,120.600203,null
2343120018,屏東縣萬巒鄉衛生所,屏東縣,萬巒鄉,923,,屏東縣萬巒鄉萬全村五福路10號,08-7811794,22.572841,120.571793,null
2343130014,屏東縣內埔鄉衛生所,屏東縣,內埔鄉,912,,屏東縣內埔鄉內埔村中興路191號,08-7792414,22.612405,120.569014,null
2343140010,屏東縣竹田鄉衛生所,屏東縣,竹田鄉,911,,屏東縣竹田鄉竹田村中山路25號,08-7710445,22.58637,120.543137,null
2343150016,屏東縣新埤鄉衛生所,屏東縣,新埤鄉,925,,屏東縣新埤鄉中正路38號,08-7971090,22.470451,120.550083,null
2343160012,屏東縣枋寮鄉衛生所,屏東縣,枋寮鄉,940,,屏東縣枋寮鄉枋寮村德興路77號,08-8782740,22.365644,120.593037,null
2343170018,屏東縣新園鄉衛生所,屏東縣,新園鄉,932,,屏東縣新園鄉仙吉村仙吉路89-2號,08-8681293,22.5436,120.460911,null
2343180014,屏東縣崁頂鄉衛生所,屏東縣,崁頂鄉,924,,屏東縣嵌頂鄉嵌頂村中正路4號6樓,08-8633219,22.5096431,120.5052048,null
2343190010,屏東縣林邊鄉衛生所,屏東縣,林邊鄉,927,,屏東縣林邊鄉光林村和平路45號,08-8754076,22.431095,120.509698,null
2343200011,屏東縣南州鄉衛生所,屏東縣,林邊鄉,927,,屏東縣林邊鄉仁和村人和路239號,08-8642224,22.4370077,120.5102264,null
2343210017,屏東縣佳冬鄉衛生所,屏東縣,佳冬鄉,931,,屏東縣佳冬鄉六根村佳和路87-1號,08-8662018,22.414264,120.549584,null
2343220013,屏東縣琉球鄉衛生所,屏東縣,琉球鄉,929,,屏東縣琉球鄉本福村中山路51號,08-8612513,22.348526,120.378547,null
2343230019,屏東縣車城鄉衛生所,屏東縣,車城鄉,944,,屏東縣車城鄉福安村福安路30號,08-8821300,22.071078,120.711911,null
2343240015,屏東縣滿州鄉衛生所,屏東縣,滿州鄉,947,,屏東縣滿州鄉滿州村中山路31號,08-8801279,22.018983,120.83805,null
2343250011,屏東縣枋山鄉衛生所,屏東縣,枋山鄉,941,,屏東縣枋山鄉枋山村枋山路98號,08-8761150,22.26464,120.652705,null
2343260017,屏東縣三地門鄉衛生所,屏東縣,三地門鄉,901,,屏東縣三地門鄉三地村行政街4號,08-7993226,22.7146177,120.6512069,null
2343270013,屏東縣霧台鄉衛生所,屏東縣,霧臺鄉,902,,屏東縣霧台鄉霧台村神山巷70號,08-7902232,22.749269,120.726778,null
2343280019,屏東縣瑪家鄉衛生所,屏東縣,瑪家鄉,903,,屏東縣瑪家鄉北葉村風景巷86號,08-7991164,22.7079044,120.6471723,null
2343290015,屏東縣泰武鄉衛生所,屏東縣,泰武鄉,921,,屏東縣泰武鄉佳平村179號,08-7832059,22.592122,120.632685,null
2343300016,屏東縣來義鄉衛生所,屏東縣,來義鄉,922,,屏東縣來義鄉古樓村中正路90號,08-7850103,22.52584,120.631987,null
2343310012,屏東縣春日鄉衛生所,屏東縣,春日鄉,942,,屏東縣春日鄉春日村176號,08-8780358,22.3701986,120.6230526,null
2343320018,屏東縣獅子鄉衛生所,屏東縣,獅子鄉,943,,屏東縣獅子鄉楓林村2巷31號,08-8771324,22.2018784,120.7025093,null
2343330014,屏東縣牡丹鄉衛生所,屏東縣,牡丹鄉,945,,屏東縣牡丹鄉石門村19號,08-8831013,22.1257991,120.7720422,null
3543010736,陳正典內小兒科診所,屏東縣,屏東市,900,,屏東市民族路281-2號,08-7323725,22.6706103,120.482179,null
3543010772,蕭文彬內小兒科診所,屏東縣,屏東市,900,,屏東市中正路400號,08-7363585,22.683428,120.4930353,null
3543011135,蔡長禧內兒科診所,屏東縣,屏東市,900,,屏東縣屏東市民生路178-1號,08-7669868,22.669434,120.494315,null
3543011420,慶仁診所,屏東縣,屏東市,900,,屏東市重慶路194號,08-7341539,22.6774785,120.4830603,null
3543011448,吳振州診所,屏東縣,屏東市,900,,屏東縣屏東市棒球路91號,08-7553135,22.655784,120.480699,null
3543011671,林志忠診所,屏東縣,屏東市,900,,屏東縣屏東市華正路265號,08-7364741,22.684382,120.498083,null
3543011779,華正診所,屏東縣,屏東市,900,,屏東縣屏東市華正路6號,08-7379036,22.687119,120.503674,null
3543011813,振成診所,屏東縣,屏東市,900,,屏東縣屏東市林森路60號,08-7322660,22.672682,120.493208,null
3543011911,梁宏志診所,屏東縣,屏東市,900,,屏東縣屏東市自由路379-4號,08-7364494,22.680545,120.495431,null
3543011920,蘇耳鼻喉科診所,屏東縣,屏東市,900,,屏東縣屏東市永福路56號,08-7653056,22.671567,120.488664,null
3543011975,李福國耳鼻喉科診所,屏東縣,屏東市,900,,屏東縣屏東市中正路462號,08-7383846,22.684523,120.494184,null
3543011984,林俊傑診所,屏東縣,屏東市,900,,屏東縣屏東市廣東路1-7號,08-7211060,22.668131,120.497894,null
3543013077,周宜彬家庭醫學科診所,屏東縣,屏東市,900,,屏東縣屏東市建豐路二巷83號,08-7352727,22.679675,120.50631,null
3543013255,黃明鈞診所,屏東縣,屏東市,900,,屏東市廣東路783-1號,08-7385321,22.6872176,120.4922589,null
3543013291,正大聯合診所,屏東縣,屏東市,900,,屏東縣屏東市中正路191-1號,08-7324232,22.679825,120.491104,null
3543013399,林長興診所,屏東縣,屏東市,900,,屏東市廣東路72號,08-7236266,22.6714387,120.4992385,null
3543013415,薛坤霖診所,屏東縣,屏東市,900,,屏東縣屏東市建豐路123號,08-7380174,22.675486,120.506515,null
3543013504,元和馨診所,屏東縣,屏東市,900,,屏東縣屏東市林森路40-9號,08-7220553,22.67188,120.496143,null
3543013568,海豐診所,屏東縣,屏東市,900,,屏東市海豐里海豐街36-5號,08-7387135,22.7009039,120.510929,null
3543013746,健丞診所,屏東縣,屏東市,900,,屏東市華盛街1-30號,08-7530011,22.664875,120.4787221,null
3543013782,上醫囝囡診所,屏東縣,屏東市,900,,屏東市民生路57-31號,08-7210222,22.6633498,120.5050093,null
3543013862,李洮俊診所,屏東縣,屏東市,900,,屏東市崇禮里民族路130號,08-7668901,22.670724,120.4843262,null
3543014037,周昭宏內科診所,屏東縣,屏東市,900,,屏東縣屏東市福建路72號,08-7332167,22.672183,120.491501,null
3543014065,崇蘭診所,屏東縣,屏東市,900,,屏東市大同北路47號,08-7332716,22.6800029,120.4747852,null
3543014136,張道明診所,屏東縣,屏東市,900,,屏東市廣東路396號,08-7363766,22.6783897,120.5015554,null
3543014145,藍文君診所,屏東縣,屏東市,900,,屏東市廣東路396號,08-7362282,22.6783897,120.5015554,null
3543014172,宋的祥診所,屏東縣,屏東市,900,,屏東縣屏東市公裕街158號,08-7651318,22.689109,120.491234,null
3543014190,洮俊診所,屏東縣,屏東市,900,,屏東市廣東路396號,08-7363766,22.6783897,120.5015554,null
3543014332,曾競鋒診所,屏東縣,屏東市,900,,屏東市廣東路1020號,08-7324355,22.6876522,120.4849604,null
3543014350,張文瑞診所,屏東縣,屏東市,900,,屏東市中山路227號,08-7666631,22.6852359,120.484114,null
3543014403,博醫診所,屏東縣,屏東市,900,,屏東縣屏東市廣東路1300-1號,08-7325992,22.687387,120.480461,null
3543014476,家彬診所,屏東縣,屏東市,900,,屏東縣屏東市仁愛路113號1F,08-7365523,22.681079,120.496054,null
3543014485,陳亮銘內科診所,屏東縣,屏東市,900,,屏東縣屏東市公裕街160號,08-7666551,22.689144,120.491256,null
3543014494,大雅耳鼻喉科診所,屏東縣,屏東市,900,,屏東縣屏東市瑞光里民生路6-5號1樓,08-7230707,22.665029,120.502558,null
3543014565,小太陽兒科聯合診所,屏東縣,屏東市,900,,屏東縣屏東市豐田里建豐路169號1樓,08-7379591,22.675816,120.505348,null
3543020438,黃志忠診所,屏東縣,潮州鎮,920,,屏東縣潮州鎮中山路33號,08-7884486,22.549496,120.543111,null
3543020509,大華診所,屏東縣,潮州鎮,920,,屏東縣潮州鎮興隆路108號,08-7801002,22.542476,120.540561,null
3543020643,張記懷小兒科診所,屏東縣,潮州鎮,920,,屏東縣潮州鎮朝昇路304號,08-7894225,22.556362,120.539987,null
3543021891,上好診所,屏東縣,潮州鎮,920,,屏東縣潮州鎮四維路266號,08-7861900,22.555517,120.548452,null
3543021962,賴信宏耳鼻喉科,屏東縣,潮州鎮,920,,屏東縣潮州鎮公園路42號,08-7886201,22.553074,120.537379,null
3543022058,曾宏智診所,屏東縣,潮州鎮,920,,屏東縣潮州鎮潮昇路257號,08-7800258,22.5560825,120.5411844,null
3543022147,欣安禾婦兒科診所,屏東縣,潮州鎮,920,,屏東縣潮州鎮三星里三星路198號,08-7801155,22.546881,120.548953,null
3543022156,愛生診所,屏東縣,潮州鎮,920,,屏東縣潮州鎮中山路107號,08-7882355,22.5495771,120.5404519,null
3543022183,瑞安診所,屏東縣,潮州鎮,920,,屏東縣潮州鎮興隆路137號,08-7888716,22.5433171,120.5400251,null
3543022218,真善美診所,屏東縣,潮州鎮,920,,屏東縣潮州鎮榮祥路90號,08-7895123,22.5508924,120.5343009,null
3543030283,東霖耳鼻喉科診所,屏東縣,東港鎮,928,,屏東縣東港鎮中山路1-3號,08-8353900,22.464947,120.454318,null
3543031520,林瑛豐兒科診所,屏東縣,東港鎮,928,,屏東縣東港鎮朝隆路8號,08-8339268,22.468117,120.444713,null
3543031539,德鴻吳小兒科診所,屏東縣,東港鎮,928,,屏東縣東港鎮新生三路226號,08-8321990,22.467621,120.444967,null
3543031600,李澤診所,屏東縣,東港鎮,928,,屏東縣東港鎮中山路36號,08-8323560,22.466409,120.451164,null
3543031619,正輝耳鼻喉科診所,屏東縣,東港鎮,928,,屏東縣東港鎮中正路159號,08-8353183,22.472707,120.456559,null
3543031628,蔡仲凡診所,屏東縣,東港鎮,928,,屏東縣東港鎮光復路二段76號,08-8351666,22.466667,120.452858,null
3543041286,陳義銘診所,屏東縣,恆春鎮,946,,屏東縣恆春鎮西門路108號1樓,08-8883336,22.00793,120.74366,null
3543050105,陳宗仁診所,屏東縣,萬丹鄉,913,,屏東縣萬丹鄉萬全村萬丹路一段440號,08-7770066,22.591832,120.489092,null
3543051308,天醫診所,屏東縣,萬丹鄉,913,,屏東縣萬丹鄉萬丹路1段40號,08-7772933,22.5847677,120.4890438,null
3543051344,慈愛診所,屏東縣,萬丹鄉,913,,屏東縣萬丹鄉萬壽路二段271號,08-7764028,22.586942,120.487729,null
3543051362,張家瑜診所,屏東縣,萬丹鄉,913,,屏東縣萬丹鄉社中村社皮路3段228號,08-7070342,22.618363,120.470596,null
3543051497,宏祥診所,屏東縣,萬丹鄉,913,,屏東縣萬丹鄉中興路3段370號,08-7770558,22.5726916,120.4801221,null
3543051504,欣林診所,屏東縣,萬丹鄉,913,,屏東縣萬丹鄉萬丹路1段190號,08-7779828,22.6052341,120.4879536,null
3543060110,和合診所,屏東縣,長治鄉,908,,屏東縣長治鄉長興路132號,08-7381258,22.677996,120.524762,null
3543061153,康和診所,屏東縣,長治鄉,908,,屏東縣長治鄉香楊路12-1號,08-7216693,22.664841,120.512435,null
3543080103,愛林診所,屏東縣,九如鄉,904,,屏東縣九如鄉九清村維新街12號,08-7395758,22.733598,120.488541,null
3543090092,文章診所,屏東縣,里港鄉,905,,屏東縣里港鄉春林村里港路87號,08-7757077,22.776727,120.49605,null
3543091151,黃柏韶診所,屏東縣,里港鄉,905,,屏東縣里港鄉春林村里港路29號,08-7720801,22.775794,120.495137,null
3543100057,長生診所,屏東縣,鹽埔鄉,907,,屏東縣鹽埔鄉鹽中村勝利路45-9號,08-7935915,22.755775,120.574424,null
3543101143,仁新診所,屏東縣,鹽埔鄉,907,,屏東縣鹽埔鄉新二村維新路125號,08-7930621,22.7408631,120.5569555,null
3543101152,和生診所,屏東縣,鹽埔鄉,907,,屏東縣鹽埔鄉維新路72-2號,08-7938202,22.739738,120.556685,null
3543101170,永興診所,屏東縣,鹽埔鄉,907,,屏東縣鹽埔鄉振興村中正路54號,08-7021343,22.7227256,120.6091712,null
3543110188,杏元診所,屏東縣,高樹鄉,906,,屏東縣高樹鄉高樹村南興路58-1號,08-7967788,22.821635,120.602244,null
3543111318,嘉誠診所,屏東縣,高樹鄉,906,,屏東縣高樹鄉南興路118-1號,08-7962772,22.823485,120.601718,null
3543121190,賴家醫科診所,屏東縣,萬巒鄉,923,,屏東縣萬巒鄉萬巒村褒忠路126號,08-7814069,22.573482,120.569232,null
3543121216,尚禾診所,屏東縣,萬巒鄉,923,,屏東縣萬巒鄉褒忠路151號,08-7812963,22.5731083,120.5692607,null
3543130162,張文義診所,屏東縣,內埔鄉,912,,屏東縣內埔鄉內田村學人路709號,08-7783966,22.607752,120.564042,null
3543130206,昭仁診所,屏東縣,內埔鄉,912,,屏東縣內埔鄉內田村廣濟路257號,08-7782312,22.614796,120.56617,null
3543131623,豐田育晨診所,屏東縣,內埔鄉,912,,屏東縣內埔鄉豐田村中正路340號,08-7782108,22.6322698,120.543471,null
3543151107,黃裕隆診所,屏東縣,新埤鄉,925,,屏東縣新埤鄉新埤村中正路113號,08-7972456,22.4699893,120.5499619,null
3543160222,迦美診所,屏東縣,枋寮鄉,940,,屏東縣枋寮鄉中山路327號,08-8782900,22.3711285,120.5925314,null
3543170095,趙致成診所,屏東縣,新園鄉,932,,屏東縣新園鄉仙吉村仙吉路90-1號,08-8681236,22.542403,120.460587,null
3543171378,江逸詩診所,屏東縣,新園鄉,932,,屏東縣新園鄉新園鄉仙吉路19-1號,08-8683228,22.5397429,120.4575223,null
3543181132,家豐診所,屏東縣,崁頂鄉,924,,屏東縣崁頂鄉崁頂村興農路40號,08-8630528,22.5132727,120.509964,null
3543190113,宏安內小兒科診所,屏東縣,林邊鄉,927,,屏東縣林邊鄉林邊村中林路114號,08-8754399,22.4342861,120.5179018,null
3543190122,陳永惠診所,屏東縣,林邊鄉,927,,屏東縣林邊鄉永樂村美華路35-1號,08-8752078,22.435115,120.51612,null
3543190186,鄭耳鼻喉科診所,屏東縣,林邊鄉,927,,屏東縣林邊鄉中山路184號,08-8751900,22.4346719,120.5149734,null
3543190195,欣生診所,屏東縣,林邊鄉,927,,屏東縣林邊鄉中山路106-2號,08-8750747,22.432826,120.514827,null
3543210067,林子銘診所,屏東縣,佳冬鄉,931,,屏東縣佳冬鄉石光村中山路154-4號,08-8668615,22.4348744,120.5630304,null
3543211073,大佳診所,屏東縣,佳冬鄉,931,,屏東縣佳冬鄉佳冬村佳和路98-6號,08-8666680,22.4151076,120.5494701,null
3543211091,胡家醫診所,屏東縣,佳冬鄉,931,,屏東縣佳冬鄉家佳冬村佳昌路6號,08-8669208,22.4149444,120.5491233,null
3543261064,宋金峰家庭醫學診所,屏東縣,三地門鄉,901,,屏東縣三地門鄉青山村民族巷52號　,08-7964993,22.8167962,120.6402603,null
3543281100,重仁診所,屏東縣,瑪家鄉,903,,屏東縣瑪家鄉三和村美園巷90號,08-7995959,22.696479,120.5966943,null
3543281191,晨安診所,屏東縣,瑪家鄉,903,,屏東縣瑪家鄉北葉村風景1-3號,08-7991787,22.709336,120.647862,null
3543281208,晨心診所,屏東縣,瑪家鄉,903,,屏東縣瑪家鄉北葉村風景1-3號,08-7991787,22.7093823,120.6478908,null
3543300011,王福祥診所,屏東縣,來義鄉,922,,屏東縣來義鄉古樓村中正路134號,08-7851859,22.5264555,120.62934,null
3543310053,楊樂濱診所,屏東縣,春日鄉,942,,屏東縣春日鄉春日路1之2號,08-8787856,22.370188,120.623399,null
3543311069,文彬立安診所,屏東縣,春日鄉,942,,屏東縣春日鄉春日路24號,08-8782658,22.3697079,120.6237172,null
2643131026,屏東榮譽國民之家附設醫務室,屏東縣,內埔鄉,912,,屏東縣內埔鄉建興路100號 ,08-7700190,22.6550779,120.575398,null
